YEAR,MO,DY,Global Horizontal Irradiance (W/m²),Longwave Radiation (W/m²),Clearness Index,PAR Radiation (W/m²),Air Temperature (°C),Max Air Temperature (°C),Min Air Temperature (°C),Relative Humidity (%),Precipitation (mm/day),Wind Speed (m/s),Wind Direction (°),Surface Pressure (kPa),Specific Humidity (g/kg),Cloud Amount (%),Latitude,Longitude,Country,Region
2024,1,1,1.2182,7.8276,0.34,0.5693,11.45,13.6,9.75,90.18,1.22,1.93,222.3,99.07,7.68,92.49,41.8719,12.5674,Italy,Europe
2024,1,2,2.0503,7.2845,0.57,0.9122,11.0,14.44,8.94,83.69,0.32,1.36,227.3,99.32,6.84,66.24,41.8719,12.5674,Italy,Europe
2024,1,3,1.5108,7.9397,0.42,0.6917,11.93,14.97,9.8,91.52,0.86,3.05,204.8,98.97,8.1,77.49,41.8719,12.5674,Italy,Europe
2024,1,4,2.184,7.362,0.6,0.9605,11.42,16.44,8.16,93.11,0.12,1.68,232.0,98.88,8.22,45.99,41.8719,12.5674,Italy,Europe
2024,1,5,1.02,8.2416,0.28,0.4848,12.16,14.37,8.59,92.65,4.7,4.3,144.7,98.5,8.43,98.25,41.8719,12.5674,Italy,Europe
2024,1,6,1.1208,8.2781,0.31,0.5306,11.62,13.31,10.28,89.89,12.91,3.05,139.9,97.35,7.91,99.74,41.8719,12.5674,Italy,Europe
2024,1,7,0.649,8.2982,0.18,0.3228,9.8,11.8,7.98,92.08,5.63,1.09,325.6,97.08,7.18,99.82,41.8719,12.5674,Italy,Europe
2024,1,8,1.5019,7.507,0.4,0.6706,7.92,13.02,4.17,80.24,0.17,2.4,38.7,97.98,5.42,77.12,41.8719,12.5674,Italy,Europe
2024,1,9,1.7846,7.5091,0.48,0.7956,7.66,13.15,3.21,75.37,0.24,1.33,105.4,99.27,4.94,45.24,41.8719,12.5674,Italy,Europe
2024,1,10,1.1971,7.722,0.32,0.5578,8.53,11.23,6.21,82.31,0.64,1.36,117.2,99.86,5.71,95.45,41.8719,12.5674,Italy,Europe
2024,1,11,1.3841,7.5838,0.37,0.6307,7.54,14.01,3.82,77.76,0.04,1.71,76.8,99.44,4.97,67.62,41.8719,12.5674,Italy,Europe
2024,1,12,2.574,6.4243,0.67,1.1016,4.89,11.91,0.55,78.12,0.01,2.27,43.5,99.51,4.08,4.32,41.8719,12.5674,Italy,Europe
2024,1,13,2.6683,6.2647,0.69,1.1179,4.54,11.45,-1.39,64.84,0.04,1.42,47.1,99.78,3.25,10.73,41.8719,12.5674,Italy,Europe
2024,1,14,1.373,7.9272,0.35,0.6281,7.9,11.59,2.99,84.25,3.41,1.59,200.3,99.09,5.73,81.29,41.8719,12.5674,Italy,Europe
2024,1,15,1.247,7.7506,0.32,0.5736,10.36,13.91,7.88,92.03,2.14,1.99,231.2,97.98,7.42,60.43,41.8719,12.5674,Italy,Europe
2024,1,16,1.9992,7.5389,0.51,0.8959,10.48,14.67,7.3,93.58,0.53,1.75,190.7,98.46,7.72,37.49,41.8719,12.5674,Italy,Europe
2024,1,17,0.8078,8.3378,0.2,0.3938,12.36,15.47,9.27,96.54,3.54,3.88,171.7,98.44,8.9,97.44,41.8719,12.5674,Italy,Europe
2024,1,18,2.3489,7.6154,0.58,1.0562,12.89,16.09,10.4,93.81,2.18,4.35,223.4,97.98,8.9,26.23,41.8719,12.5674,Italy,Europe
2024,1,19,2.0297,7.817,0.5,0.9331,12.23,16.03,9.85,90.34,0.69,2.6,227.2,98.41,8.2,60.11,41.8719,12.5674,Italy,Europe
2024,1,20,1.9435,7.2341,0.47,0.8429,5.99,9.85,0.81,66.26,0.8,4.63,46.1,99.38,3.93,57.37,41.8719,12.5674,Italy,Europe
2024,1,21,2.8591,6.3396,0.69,1.1902,4.66,12.43,-0.71,59.74,0.0,1.57,44.4,100.45,3.05,30.78,41.8719,12.5674,Italy,Europe
2024,1,22,2.7929,6.6974,0.67,1.1798,6.33,12.12,2.16,66.28,0.0,1.45,166.9,100.72,3.93,31.08,41.8719,12.5674,Italy,Europe
2024,1,23,2.539,7.3411,0.6,1.1179,8.26,14.04,4.61,84.75,0.01,1.69,29.5,100.44,5.73,51.87,41.8719,12.5674,Italy,Europe
2024,1,24,2.6102,7.0858,0.61,1.1666,9.44,15.16,4.84,78.09,0.0,1.18,166.4,100.69,5.64,35.05,41.8719,12.5674,Italy,Europe
2024,1,25,2.5543,7.183,0.59,1.1254,9.79,14.98,7.02,74.79,0.0,1.01,348.1,100.16,5.65,16.94,41.8719,12.5674,Italy,Europe
2024,1,26,1.4088,7.7791,0.32,0.6504,9.49,14.59,5.61,88.47,0.01,1.05,158.4,100.23,6.64,68.86,41.8719,12.5674,Italy,Europe
2024,1,27,2.8884,7.265,0.65,1.2715,9.84,15.69,5.85,81.61,0.01,1.15,348.3,100.4,6.02,29.45,41.8719,12.5674,Italy,Europe
2024,1,28,3.0403,6.4992,0.68,1.2907,7.27,15.16,2.05,71.92,0.02,1.68,50.9,100.96,4.28,3.51,41.8719,12.5674,Italy,Europe
